,Unnamed: 0,V0101,UF,V0102,V0103,V0104,V0105,V0106,V0201,V0202,V0203,V0204,V0205,V0206,V0207,V0208,V0209,V0210,V0211,V0212,V0213,V0214,V0215,V0216,V2016,V0217,V0218,V0219,V0220,V2020,V0221,V0222,V0223,V0224,V0225,V0226,V0227,V2027,V0228,V0229,V0230,V0231,V0232,V2032,V4105,V4106,V4107,V4600,V4601,V4602,V4604,V4605,V4606,V4607,V4608,V4609,V4610,V4611,V4614,UPA,V4617,V4618,V4619,V4620,V4621,V4622,V4623,V4624,V2101,V2102,V2103,V2105,V2107,V2109,V2111,V2113,V2115,V2117,V2119,V2120,V2121,V2123,V2124,V2126,V2128,V2130,V2132,V2134,V2136,V2033,V2034,V2035,V2036,V2037,V2038,V2039,V2041,V9992,Região,Geladeira
18567,18567,2009,21,107,3,1,7.0,6.0,1.0,2.0,1.0,1.0,8.0,4.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,1.0,4.0,1.0,4.0,3.0,,4.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,907.0,3102.0,330,210014,67,1.0,7.0,443.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18570,18570,2009,21,107,6,1,5.0,4.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,4.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,906.0,1020.0,330,210014,67,1.0,5.0,204.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18573,18573,2009,21,107,9,1,6.0,6.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,4.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,907.0,254.0,330,210014,67,1.0,6.0,42.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18579,18579,2009,21,107,15,1,3.0,3.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,2.0,1.0,4.0,,,3.0,,,,3.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,906.0,112.0,330,210014,67,1.0,3.0,37.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,Sim,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18581,18581,2009,21,107,17,1,8.0,6.0,1.0,2.0,1.0,1.0,7.0,3.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,4.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,906.0,999999999999.0,330,210014,67,1.0,8.0,999999999999.0,99.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18584,18584,2009,21,107,20,1,5.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,4.0,3.0,,3.0,2.0,3.0,,,,3.0,1.0,4.0,4.0,1.0,,4.0,Não possui,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,907.0,80.0,330,210014,67,1.0,5.0,16.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18585,18585,2009,21,107,21,1,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,4.0,1.0,4.0,4.0,1.0,,4.0,Não possui,1.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2109,2,0.0158042348,5,0.07928942809999999,9,6548540,750,906.0,35.0,330,210014,67,1.0,2.0,17.0,1.0,9.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18611,18611,2009,21,123,5,1,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2105,2,0.048493088200000006,5,0.0506096543,18,6548540,750,907.0,164.0,322,210008,57,1.0,4.0,41.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18667,18667,2009,21,158,1,1,6.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,4.0,8,0,3,26,9,2105,2,0.048493088200000006,5,0.0596291966,22,6548540,750,907.0,420.0,322,210008,57,1.0,6.0,70.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18707,18707,2009,21,166,18,1,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,2.0,3.0,,1.0,,1.0,2.0,1.0,6.0,1.0,1.0,4.0,4.0,1.0,,4.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0132236142,16,6548540,750,906.0,530.0,328,210013,65,1.0,2.0,265.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18710,18710,2009,21,174,1,1,4.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,130.0,,,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0062638172,8,6548540,750,907.0,350.0,328,210013,65,1.0,4.0,87.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18713,18713,2009,21,174,4,1,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,2.0,,,3.0,,,,1.0,1.0,4.0,4.0,1.0,,4.0,Não possui,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0062638172,8,6548540,750,907.0,465.0,328,210013,65,1.0,2.0,232.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18718,18718,2009,21,174,9,1,7.0,5.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,4.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0062638172,8,6548540,750,907.0,1538.0,328,210013,65,1.0,7.0,219.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,6.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18719,18719,2009,21,174,10,1,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,,,2.0,1.0,2.0,,,3.0,,,,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,1.0,4.0,3.0,4.0,1.0,4.0,4.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0062638172,8,6548540,750,907.0,560.0,328,210013,65,1.0,3.0,186.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18724,18724,2009,21,174,15,1,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,120.0,,,1.0,2.0,,,3.0,,,,1.0,1.0,4.0,4.0,1.0,,4.0,Não possui,3.0,2.0,,3.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0062638172,8,6548540,750,907.0,430.0,328,210013,65,1.0,2.0,215.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18765,18765,2009,21,190,3,1,4.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2108,2,0.1599423254,5,0.0164578728,20,6548540,750,906.0,92.0,328,210013,65,1.0,4.0,23.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18793,18793,2009,21,204,9,1,4.0,3.0,1.0,2.0,3.0,1.0,6.0,2.0,1.0,,,2.0,3.0,,3.0,4.0,3.0,,,,3.0,1.0,4.0,4.0,1.0,,4.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,5,0,3,26,9,2108,2,0.1599423254,5,0.0019241792,2,6548540,750,907.0,444.0,328,210013,65,1.0,4.0,111.0,1.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18794,18794,2009,21,204,10,1,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,4.0,3.0,,,,3.0,1.0,2.0,4.0,1.0,,4.0,Possui Filtro,1.0,2.0,,1.0,6.0,3.0,4.0,3.0,,8.0,5,0,3,26,9,2108,2,0.1599423254,5,0.0019241792,2,6548540,750,907.0,953.0,328,210013,65,1.0,4.0,238.0,3.0,9.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,1.0,3.0,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18796,18796,2009,21,204,12,1,4.0,2.0,1.0,2.0,3.0,6.0,3.0,1.0,5.0,,,,3.0,,3.0,4.0,3.0,,,,3.0,1.0,4.0,4.0,1.0,,4.0,Não possui,1.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,5,0,3,26,9,2108,2,0.1599423254,5,0.0019241792,2,6548540,750,906.0,162.0,328,210013,65,1.0,4.0,40.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18837,18837,2009,21,220,2,1,2.0,2.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,,,2.0,1.0,4.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0215444691,17,6548540,750,907.0,465.0,320,210006,54,1.0,2.0,232.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18840,18840,2009,21,220,5,1,4.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,150.0,,,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0215444691,17,6548540,750,906.0,300.0,320,210006,54,1.0,4.0,75.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18879,18879,2009,21,239,18,1,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,150.0,,,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0276038511,22,6548540,750,907.0,555.0,320,210006,54,1.0,3.0,185.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18893,18893,2009,21,247,1,1,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,,,2.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,3.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0328553154,26,6548540,750,906.0,100.0,320,210006,54,1.0,2.0,50.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18898,18898,2009,21,247,6,1,4.0,3.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,2.0,3.0,,4.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0328553154,26,6548540,750,907.0,1065.0,320,210006,54,1.0,4.0,266.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18901,18901,2009,21,247,9,1,6.0,6.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,,,2.0,3.0,,1.0,,3.0,,,,1.0,1.0,4.0,4.0,1.0,,1.0,Não possui,1.0,2.0,,1.0,6.0,3.0,4.0,3.0,,8.0,1,0,3,26,9,2104,2,0.1059727365,5,0.0328553154,26,6548540,750,907.0,857.0,320,210006,54,1.0,6.0,142.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,Sim,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Não
18926,18926,2009,21,255,9,1,7.0,5.0,1.0,2.0,5.0,6.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,3.0,1.0,4.0,4.0,1.0,,1.0,Possui Filtro,1.0,2.0,,1.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2104,2,0.1059727365,5,0.0115801522,9,6548540,750,907.0,634.0,320,210006,54,1.0,7.0,90.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18928,18928,2009,21,255,11,1,8.0,6.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,,,2.0,3.0,,3.0,2.0,3.0,,,,3.0,1.0,2.0,4.0,1.0,,1.0,Não possui,3.0,2.0,,3.0,4.0,3.0,2.0,3.0,,8.0,8,0,3,26,9,2104,2,0.1059727365,5,0.0115801522,9,6548540,750,907.0,400.0,320,210006,54,1.0,8.0,50.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sim,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
18929,18929,2009,21,255,12,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,4.0,1.0,6.0,,,3.0,,,,3.0,3.0,4.0,4.0,1.0,,3.0,Não possui,1.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,,8.0,8,0,3,26,9,2104,2,0.1059727365,5,0.0115801522,9,6548540,750,906.0,200.0,320,210006,54,1.0,1.0,200.0,2.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Sim,4.0,1.0,3.0,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20120710,Nordeste,Sim
